name,description_doc,datasheet_doc,keywords_doc,reference,value,footprint
TPS62177DQC,"500mA Step-Down Conveter with Sleep Mode, fixed 3.3V Output Voltage, 4.75-28V input voltage, WSON-10",http://www.ti.com/lit/ds/symlink/tps62177.pdf,step-down dc-dc buck regulator,U,TPS62177DQC,Package_SON:WSON-10-1EP_2x3mm_P0.5mm_EP0.84x2.4mm_ThermalVias
TPS62200DBV,"300mA High-Efficiency Step-Down DC-DC Converter, adjustable output voltage, 2.5-6V input voltage, SOT-23-5",http://www.ti.com/lit/ds/symlink/tps62201.pdf,Step-Down DC-DC Converter,U,TPS62200DBV,Package_TO_SOT_SMD:SOT-23-5
TPS63000,"Buck-Boost Converter, 1.8-5.5V Input Voltage, 1.8A Switch Current, Adjustable 1.2-5.5V Output Voltage, VSON-10",http://www.ti.com/lit/ds/symlink/tps63000.pdf,Buck-Boost adjustable converter,U,TPS63000,Package_SON:Texas_DRC0010J_ThermalVias
TPS63060,"Buck-Boost Converter, 2.5-12V Input Voltage, 2-A Switch Current, Adjustable 2.5-8V Output Voltage, S-PWSON-N10",http://www.ti.com/lit/ds/symlink/tps63060.pdf,Buck-Boost adjustable converter,U,TPS63060,Package_SON:Texas_S-PWSON-N10_ThermalVias
TPS63061,"Buck-Boost Converter, 2.5-12V Input Voltage, 2-A Switch Current, Fixed 5V Output Voltage, S-PWSON-10",http://www.ti.com/lit/ds/symlink/tps63060.pdf,Buck-Boost converter 5V,U,TPS63061,Package_SON:Texas_S-PWSON-N10_ThermalVias
TPS82130,"17V Input 3A Step-Down Converter MicroSiP Module with Integrated Inductor, μSiL-8",http://www.ti.com/lit/ds/symlink/tps82130.pdf,17V 3A Step-down Buck Module,U,TPS82130,Package_LGA:Texas_MicroSiP-8-1EP_2.8x3.0mm_P0.65mm_EP1.1x1.9mm_SMD_ThermalVias
TSR_1-2450,"1A step-down regulator module, fixed 5V output voltage, 5-36V input voltage, -40°C to +85°C temperature range, TO-220 compatible LM78xx replacement",http://www.tracopower.com/products/tsr1.pdf,dc-dc traco buck,U,TSR_1-2450,Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT
VIPer22ADIP-E,Low power OFF-line SMPS primary switcher,http://www.st.com/web/en/resource/technical/document/datasheet/CD00087939.pdf,SMPS,U,VIPer22ADIP-E,Package_DIP:DIP-8_W7.62mm
VIPer22AS,Low power OFF-line SMPS primary switcher,http://www.st.com/web/en/resource/technical/document/datasheet/CD00087939.pdf,SMPS,U,VIPer22AS,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
VIPer25LN,"12W SMPS Controller, AC-DC, PDIP-7",http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00231127.pdf,SMPS Controller with MOSFET 12W AC-DC,U,VIPer25LN,Package_DIP:PowerIntegrations_PDIP-8B
